latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,bedrooms,beds,baths,month,neighborhood_avgprice,last_review_month,last_review_year,neighgroup_Bronx,neighgroup_Brooklyn,neighgroup_Manhattan,neighgroup_Queens,neighgroup_Staten Island,roomtype_Entire home/apt,roomtype_Hotel room,roomtype_Private room,roomtype_Shared room,license_Exempt,license_Has License,license_No License,ratings_3.0,ratings_4.0,ratings_4.2,ratings_4.4,ratings_4.6,ratings_4.8,ratings_5,ratings_New,ratings_No rating,ratings_less3
40.733143,-74.009605,200.0,700,7,0.25,1,95,5,1,1,1.0,11,342.0,11,2023,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40.73279,-73.87233,70.0,31,52,2.32,4,90,8,1,1,1.0,6,79.0,6,2023,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
40.72122,-73.75003,88.0,30,63,0.99,1,297,2,1,2,1.0,9,160.0,9,2023,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40.76301,-73.97743,174.0,1,25,1.11,44,0,1,1,1,1.0,1,288.0,1,2023,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
40.76314,-73.97703,179.0,1,26,0.96,44,0,0,1,1,1.0,1,288.0,1,2023,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
40.76344,-73.97524,172.0,1,38,1.41,44,0,1,1,1,1.0,1,288.0,1,2023,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
40.68322,-73.91827,95.0,30,4,0.13,9,0,0,1,1,1.0,12,266.0,12,2022,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
40.73261,-73.95662,125.0,60,43,1.56,1,35,15,1,1,1.0,10,240.0,10,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40.65823,-73.95602,50.0,30,70,2.38,2,0,3,1,1,1.0,6,144.0,6,2023,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40.81204,-73.94234,179.0,30,44,1.73,1,332,19,1,2,1.0,10,150.0,10,2023,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40.72826121795386,-73.87504157984996,30.0,30,2,0.38,267,25,2,1,1,1.0,9,79.0,9,2023,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.83501,-73.93934,84.0,75,10,0.12,16,363,1,1,1,1.0,8,127.0,8,2023,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
40.68794,-73.97203,120.0,30,1,0.18,1,0,1,1,1,1.0,7,244.0,7,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.82022268787563,-73.9458042383194,74.0,30,1,0.56,2,51,1,1,1,1.0,11,150.0,11,2023,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.75704,-73.99068,428.0,2,3,3.0,1,269,3,1,1,1.0,12,241.0,12,2023,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
40.73867,-73.99878,275.0,30,4,0.14,1,364,0,1,1,1.0,10,273.0,10,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40.6398509,-73.9366136,250.0,30,17,1.05,11,349,11,2,10,1.0,11,125.0,11,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
40.70401,-74.00919,325.0,30,2,0.07,1,0,0,1,1,1.5,7,315.0,7,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.755878,-73.963348,348.0,30,1,0.04,5,363,0,1,2,1.0,12,288.0,12,2021,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.74431,-73.92326,56.0,30,1,0.03,1,0,0,1,1,1.0,8,112.0,8,2021,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.76769,-73.91048,120.0,30,1,0.04,1,0,0,1,1,1.0,11,112.0,11,2021,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.68977,-73.95835,45.0,30,2,0.02,4,310,0,1,1,1.0,12,266.0,12,2021,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.859352,-73.864983,45.0,30,17,0.8,8,0,4,1,1,1.0,9,101.0,9,2023,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40.70095,-73.91389,89.0,30,6,0.47,9,343,5,1,1,1.0,11,122.0,11,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40.7435,-73.915,116.0,30,24,0.27,3,365,0,1,3,1.0,6,112.0,6,2022,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
40.68812,-73.9854,95.0,30,25,0.27,17,241,5,0,2,1.0,9,224.0,9,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40.69679,-73.91672,40.0,30,13,1.29,5,205,13,1,1,1.0,9,122.0,9,2023,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
40.78823,-73.96957,200.0,30,53,2.52,9,365,28,0,1,1.0,12,242.0,12,2023,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40.70541,-73.92392,100.0,30,18,0.42,1,359,2,0,2,1.0,9,122.0,9,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
40.68884467682968,-73.9303994005861,108.0,30,1,0.81,2,340,1,1,2,1.0,12,266.0,12,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.68561,-73.94407,123.0,1,51,1.01,2,148,27,1,1,1.0,12,266.0,12,2023,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
